Delivery Day,Hours,"Prices
(EUR/MWh)",datetime
1/1/2020,H1,26.38,2020-01-01 01:00:00
1/1/2020,H2,26.5,2020-01-01 02:00:00
1/1/2020,H3,27.01,2020-01-01 03:00:00
1/1/2020,H4,27.4,2020-01-01 04:00:00
1/1/2020,H5,27.99,2020-01-01 05:00:00
1/1/2020,H6,27.71,2020-01-01 06:00:00
1/1/2020,H7,28.4,2020-01-01 07:00:00
1/1/2020,H8,28.98,2020-01-01 08:00:00
1/1/2020,H9,29.5,2020-01-01 09:00:00
1/1/2020,H10,29.43,2020-01-01 10:00:00
1/1/2020,H11,30.51,2020-01-01 11:00:00
1/1/2020,H12,33.32,2020-01-01 12:00:00
1/1/2020,H13,38.11,2020-01-01 13:00:00
1/1/2020,H14,41.24,2020-01-01 14:00:00
1/1/2020,H15,42.66,2020-01-01 15:00:00
1/1/2020,H16,42.08,2020-01-01 16:00:00
1/1/2020,H17,39.51,2020-01-01 17:00:00
1/1/2020,H18,37.5,2020-01-01 18:00:00
1/1/2020,H19,35.6,2020-01-01 19:00:00
1/1/2020,H20,31.6,2020-01-01 20:00:00
1/1/2020,H21,32.3,2020-01-01 21:00:00
1/1/2020,H22,33.6,2020-01-01 22:00:00
1/1/2020,H23,35.2,2020-01-01 23:00:00
1/1/2020,H24,34.0,2020-01-01 00:00:00
1/2/2020,H1,34.05,2020-01-02 01:00:00
1/2/2020,H2,37.92,2020-01-02 02:00:00
1/2/2020,H3,41.04,2020-01-02 03:00:00
1/2/2020,H4,48.13,2020-01-02 04:00:00
1/2/2020,H5,49.11,2020-01-02 05:00:00
1/2/2020,H6,48.13,2020-01-02 06:00:00
1/2/2020,H7,45.11,2020-01-02 07:00:00
1/2/2020,H8,44.0,2020-01-02 08:00:00
1/2/2020,H9,42.2,2020-01-02 09:00:00
1/2/2020,H10,38.99,2020-01-02 10:00:00
1/2/2020,H11,39.41,2020-01-02 11:00:00
1/2/2020,H12,42.52,2020-01-02 12:00:00
1/2/2020,H13,45.09,2020-01-02 13:00:00
1/2/2020,H14,54.0,2020-01-02 14:00:00
1/2/2020,H15,55.46,2020-01-02 15:00:00
1/2/2020,H16,54.55,2020-01-02 16:00:00
1/2/2020,H17,50.51,2020-01-02 17:00:00
1/2/2020,H18,42.92,2020-01-02 18:00:00
1/2/2020,H19,39.45,2020-01-02 19:00:00
1/2/2020,H20,37.04,2020-01-02 20:00:00
1/2/2020,H21,33.55,2020-01-02 21:00:00
1/2/2020,H22,30.4,2020-01-02 22:00:00
1/2/2020,H23,28.53,2020-01-02 23:00:00
1/2/2020,H24,27.37,2020-01-02 00:00:00
1/3/2020,H1,19.55,2020-01-03 01:00:00
1/3/2020,H2,20.78,2020-01-03 02:00:00
1/3/2020,H3,21.15,2020-01-03 03:00:00
1/3/2020,H4,26.45,2020-01-03 04:00:00
1/3/2020,H5,23.9,2020-01-03 05:00:00
1/3/2020,H6,24.79,2020-01-03 06:00:00
1/3/2020,H7,25.5,2020-01-03 07:00:00
1/3/2020,H8,26.99,2020-01-03 08:00:00
1/3/2020,H9,23.99,2020-01-03 09:00:00
1/3/2020,H10,21.99,2020-01-03 10:00:00
1/3/2020,H11,20.99,2020-01-03 11:00:00
1/3/2020,H12,24.08,2020-01-03 12:00:00
1/3/2020,H13,27.61,2020-01-03 13:00:00
1/3/2020,H14,37.4,2020-01-03 14:00:00
1/3/2020,H15,39.98,2020-01-03 15:00:00
1/3/2020,H16,39.98,2020-01-03 16:00:00
1/3/2020,H17,38.63,2020-01-03 17:00:00
1/3/2020,H18,33.57,2020-01-03 18:00:00
1/3/2020,H19,29.5,2020-01-03 19:00:00
1/3/2020,H20,25.0,2020-01-03 20:00:00
1/3/2020,H21,37.0,2020-01-03 21:00:00
1/3/2020,H22,36.34,2020-01-03 22:00:00
1/3/2020,H23,36.21,2020-01-03 23:00:00
1/3/2020,H24,33.73,2020-01-03 00:00:00
1/4/2020,H1,18.62,2020-01-04 01:00:00
1/4/2020,H2,20.8,2020-01-04 02:00:00
1/4/2020,H3,25.83,2020-01-04 03:00:00
1/4/2020,H4,30.64,2020-01-04 04:00:00
1/4/2020,H5,29.13,2020-01-04 05:00:00
1/4/2020,H6,26.63,2020-01-04 06:00:00
1/4/2020,H7,26.71,2020-01-04 07:00:00
1/4/2020,H8,25.0,2020-01-04 08:00:00
1/4/2020,H9,25.21,2020-01-04 09:00:00
1/4/2020,H10,23.99,2020-01-04 10:00:00
1/4/2020,H11,24.22,2020-01-04 11:00:00
1/4/2020,H12,23.92,2020-01-04 12:00:00
1/4/2020,H13,23.08,2020-01-04 13:00:00
1/4/2020,H14,24.91,2020-01-04 14:00:00
1/4/2020,H15,28.39,2020-01-04 15:00:00
1/4/2020,H16,40.54,2020-01-04 16:00:00
1/4/2020,H17,36.99,2020-01-04 17:00:00
1/4/2020,H18,30.64,2020-01-04 18:00:00
1/4/2020,H19,28.48,2020-01-04 19:00:00
